Threshold,Total Trades,Trades/Month,Win Rate %,Profit Factor,Return %,Final Equity $,Max Drawdown %,Max Drawdown $,Avg Win %,Avg Loss %,Best Trade %,Worst Trade %,Long Trades,Long WR %,Short Trades,Short WR %,TP Exits,SL Exits,Total Fees $,Recommendation
4.0,3545,147.7,35.9,1.05,844.6,9447,49.6,3935.69,7.74,-4.14,28.00,-15.97,1882,33.2,1663,38.9,1262,2265,6708.89,Aggressive
4.5,2761,115.0,36.0,1.06,727.1,8271,41.8,546.27,7.67,-4.08,25.23,-15.50,1407,33.5,1354,38.7,991,1758,5150.88,Aggressive
5.0,2169,90.4,36.4,1.08,691.7,7917,42.3,663.36,7.65,-4.01,23.68,-15.50,1065,34.5,1104,38.3,788,1375,3259.43,Aggressive
5.5,1644,68.5,35.9,1.07,249.8,3498,35.6,667.50,7.59,-3.97,23.68,-13.94,809,34.9,835,36.9,588,1051,1365.71,
6.0,1323,55.1,35.8,1.06,182.8,2828,46.2,2049.02,7.62,-3.93,23.06,-13.94,624,34.8,699,36.6,472,846,1146.40,★ RECOMMENDED
6.5,294,12.2,34.7,1.17,64.5,1644,18.1,201.03,9.22,-4.08,20.31,-13.41,159,28.9,135,41.5,102,192,154.86,
7.0,97,4.0,42.3,1.65,77.4,1774,9.7,171.70,9.76,-4.27,18.96,-9.32,45,31.1,52,51.9,41,56,51.57,Conservative
7.5,16,0.7,56.2,3.10,23.0,1230,2.5,25.05,9.93,-3.77,15.73,-5.64,7,57.1,9,55.6,9,7,6.83,Over-selective
8.0,14,0.6,57.1,3.48,22.4,1224,2.5,25.05,10.64,-3.66,15.73,-5.64,5,60.0,9,55.6,8,6,5.82,Over-selective
